"Date","Price","Open","High","Low","Vol.","Change %"
"07/21/2023","1,762.77","1,769.52","1,772.46","1,758.44","","-0.37%"
"07/20/2023","1,769.35","1,764.86","1,771.78","1,763.45","","0.30%"
"07/19/2023","1,764.10","1,762.25","1,768.14","1,758.35","","0.13%"
"07/18/2023","1,761.73","1,740.98","1,766.32","1,738.61","","1.23%"
"07/17/2023","1,740.34","1,740.39","1,744.69","1,733.72","","-0.02%"
"07/14/2023","1,740.65","1,746.31","1,749.24","1,737.74","","-0.29%"
"07/13/2023","1,745.76","1,758.17","1,761.50","1,745.44","","-0.68%"
"07/12/2023","1,757.67","1,755.10","1,764.16","1,753.50","","0.18%"
"07/11/2023","1,754.52","1,750.87","1,763.45","1,748.20","","0.29%"
"07/10/2023","1,749.48","1,755.11","1,758.75","1,747.38","","-0.31%"
"07/07/2023","1,754.92","1,755.13","1,770.20","1,753.43","","0.04%"
"07/06/2023","1,754.28","1,763.81","1,771.61","1,750.58","","-0.55%"
"07/05/2023","1,763.95","1,769.91","1,775.54","1,763.58","","-0.30%"
"07/04/2023","1,769.22","1,761.09","1,771.82","1,759.32","","0.50%"
"07/03/2023","1,760.42","1,759.68","1,770.22","1,753.73","","0.09%"
"06/30/2023","1,758.83","1,756.39","1,760.97","1,750.24","","0.20%"
"06/29/2023","1,755.33","1,747.74","1,757.84","1,740.48","","0.47%"
"06/28/2023","1,747.07","1,746.00","1,753.85","1,739.38","","0.12%"
"06/27/2023","1,744.96","1,763.57","1,766.93","1,743.43","","-0.94%"
"06/26/2023","1,761.54","1,763.52","1,775.33","1,761.07","","-0.08%"
"06/23/2023","1,762.96","1,746.01","1,778.71","1,745.14","","1.05%"
"06/22/2023","1,744.68","1,759.11","1,760.57","1,745.01","","-0.79%"
"06/21/2023","1,758.64","1,773.58","1,776.95","1,758.31","","-0.81%"
"06/20/2023","1,773.05","1,785.61","1,789.07","1,767.77","","-0.68%"
"06/19/2023","1,785.17","1,789.30","1,791.88","1,783.01","","-0.20%"
"06/16/2023","1,788.68","1,789.03","1,795.72","1,786.15","","0.03%"
"06/15/2023","1,788.06","1,793.63","1,795.62","1,773.79","","-0.24%"
"06/14/2023","1,792.44","1,801.15","1,810.49","1,790.82","","-0.42%"
"06/13/2023","1,800.08","1,820.42","1,823.19","1,798.19","","-1.06%"
"06/12/2023","1,819.41","1,824.01","1,826.32","1,812.30","","-0.23%"
"06/09/2023","1,823.64","1,825.39","1,830.67","1,816.68","","-0.05%"
"06/08/2023","1,824.54","1,813.30","1,828.94","1,812.07","","0.67%"
"06/07/2023","1,812.44","1,836.33","1,838.71","1,812.94","","-1.26%"
"06/06/2023","1,835.60","1,831.07","1,842.12","1,825.18","","0.29%"
"06/05/2023","1,830.38","1,818.54","1,833.06","1,812.81","","0.65%"
"06/02/2023","1,818.48","1,837.49","1,843.63","1,818.92","","-1.01%"
"06/01/2023","1,836.97","1,835.25","1,845.01","1,829.36","","0.13%"
"05/31/2023","1,834.55","1,825.50","1,852.14","1,824.37","","0.55%"
"05/30/2023","1,824.56","1,814.70","1,832.29","1,807.78","","0.57%"
"05/29/2023","1,814.21","1,814.85","1,820.15","1,809.77","","-0.02%"
"05/26/2023","1,814.53","1,810.67","1,823.39","1,806.72","","0.24%"
"05/25/2023","1,810.12","1,820.55","1,831.45","1,808.73","","-0.54%"
"05/24/2023","1,819.86","1,833.64","1,840.70","1,819.58","","-0.73%"
"05/23/2023","1,833.25","1,823.76","1,835.29","1,810.66","","0.56%"
"05/22/2023","1,822.97","1,828.94","1,833.53","1,820.87","","-0.38%"
"05/19/2023","1,829.90","1,816.85","1,833.92","1,812.21","","0.74%"
"05/18/2023","1,816.45","1,828.32","1,831.11","1,812.63","","-0.61%"
"05/17/2023","1,827.51","1,831.28","1,837.39","1,825.99","","-0.16%"
"05/16/2023","1,830.42","1,854.34","1,858.60","1,827.67","","-1.26%"
"05/15/2023","1,853.77","1,852.81","1,858.95","1,848.88","","0.06%"
"05/12/2023","1,852.71","1,846.36","1,858.04","1,834.75","","0.40%"
